scale,CtreesHaloID,pid,mvir,rvir,rs,x,y,z,Mmvir_all,M200b,M200c,M500c,T/|U|,Halfmass_Scale,Acc_Rate_Inst,Acc_Rate_100Myr,Acc_Rate_1*Tdyn,Acc_Rate_2*Tdyn,Acc_Rate_Mpeak,c_vir,R200c,R500c,redshift,Ngal_Dsep_1,Ngal_Rvir,Ngal_R200c,Ngal_R500c
1.0,12582097426,-1,132160000000000.0,1.036454956,439.721985,78.9779,452.39264,38.55473,132600000000000.0,154910000000000.0,97837000000000.0,47595000000000.0,0.8038,0.6862,36680.0,36680.0,21120.0,11700.0,16950.0,2.3570687647105,0.6894312510468504,0.3688512606374556,0.0,70.0,75.0,31.0,7.0
1.0,12572770760,-1,121080000000000.0,1.006617981,240.699005,28.22767,449.19965,36.70031,121140000000000.0,132740000000000.0,95478000000000.0,59429000000000.0,0.6073,0.7173,377.5,377.5,8463.0,12550.0,13280.0,4.1820612469918,0.6677175132319957,0.3555698496277534,0.0,63.0,63.0,35.0,10.0
1.0,12582132972,-1,116580000000000.0,0.994012024,306.40799,70.33181,448.47061,82.84235,116660000000000.0,128010000000000.0,93131000000000.0,60636000000000.0,0.7041,0.8376,11610.0,11610.0,19220.0,21660.0,16660.0,3.2440799732409,0.6585359631025692,0.3499738027041068,0.0,74.0,74.0,38.0,15.0
1.0,12572188135,-1,104520000000000.0,0.95847699,201.042007,52.46843,420.83511,18.61987,104550000000000.0,114760000000000.0,82638000000000.0,54485000000000.0,0.6447,0.6862,7456.0,7456.0,7457.0,8516.0,11300.0,4.7675458691575,0.6327448652060088,0.334311435424975,0.0,71.0,66.0,22.0,1.0
1.0,12572806400,-1,104260000000000.0,0.957676025,199.641006,54.34823,462.28976,85.89877,104500000000000.0,115720000000000.0,86140000000000.0,49892000000000.0,0.6685,0.628,3996.0,3996.0,7816.0,9315.0,9080.0,4.796990579179901,0.6321679402112843,0.3339618502661221,0.0,52.0,51.0,22.0,7.0
1.0,12582133282,-1,101020000000000.0,0.947643005,329.265991,93.28345,456.38629,46.04485,101630000000000.0,109400000000000.0,70318000000000.0,40882000000000.0,0.6373,0.7666,-660.7,-660.7,7042.0,14310.0,13750.0,2.8780470224755,0.6249038657069723,0.3295673494596657,0.0,57.0,54.0,29.0,8.0
1.0,12572187952,-1,97259000000000.0,0.93573999,108.516998,18.41906,414.2894,56.14758,97277000000000.0,103640000000000.0,86394000000000.0,67387000000000.0,0.7431,0.8951,9033.0,9033.0,28180.0,14250.0,11340.0,8.6229807979022,0.6162827993468687,0.3243624980222209,0.0,59.0,59.0,36.0,11.0
1.0,12572228568,-1,93216000000000.0,0.922593018,144.401001,13.19359,401.03946,88.99519,93216000000000.0,102360000000000.0,77620000000000.0,54892000000000.0,0.5996,0.5622,1315.0,1315.0,3789.0,1337.0,2502.0,6.389104033981,0.6067732247521758,0.3186335124180909,0.0,52.0,47.0,17.0,5.0
1.0,12572842544,-1,89736000000000.0,0.910963989,139.848999,33.41653,469.98019,99.51665,89763000000000.0,100490000000000.0,75974000000000.0,55395000000000.0,0.6409,0.6008,2791.0,2791.0,2973.0,2246.0,3107.0,6.5139114009675,0.5983735602234932,0.3135840556121086,0.0,64.0,58.0,31.0,6.0
1.0,12582097321,-1,84606000000000.0,0.893262024,130.432999,92.07929,478.03323,32.07509,84892000000000.0,95648000000000.0,67664000000000.0,53350000000000.0,0.8144,0.8951,20980.0,20980.0,23930.0,13010.0,10720.0,6.8484358317943,0.5856020066671356,0.3059269924644359,0.0,55.0,51.0,27.0,12.0
1.0,12572804340,-1,83719000000000.0,0.890130005,314.432007,59.23563,477.4064,27.39268,83910000000000.0,117020000000000.0,58572000000000.0,36446000000000.0,0.7445,0.6862,534.9,534.9,1013.0,8197.0,9601.0,2.8309141091988,0.5833439053644826,0.3045758171842838,0.0,58.0,51.0,31.0,9.0
1.0,12572806554,-1,82772000000000.0,0.886762024,90.018997,46.46434,468.64261,77.63271,82772000000000.0,91937000000000.0,72114000000000.0,56071000000000.0,0.6062,0.4709,-3432.0,-3432.0,995.4,2598.0,2826.0,9.8508320860317,0.5809161209418561,0.3031240104010615,0.0,30.0,25.0,13.0,2.0
1.0,12582097834,-1,82244000000000.0,0.8848709720000001,165.490997,75.5844,458.14929,38.95968,82245000000000.0,94550000000000.0,63072000000000.0,43946000000000.0,0.5888,0.5032,-258.0,-258.0,178.5,5754.0,6505.0,5.3469432660436,0.579554646645488,0.3023101530714105,0.0,51.0,42.0,20.0,5.0
1.0,12572806262,-1,81807000000000.0,0.883302002,162.848999,62.22516,467.85187,89.89923,81807000000000.0,94651000000000.0,66640000000000.0,47381000000000.0,0.6207,0.6862,6579.0,6579.0,1213.0,6959.0,8425.0,5.4240554588854994,0.5784237310819601,0.3016344552493337,0.0,45.0,38.0,19.0,8.0
1.0,12572806835,-1,80950000000000.0,0.880208008,109.975998,12.86374,455.80173,64.03223,82049000000000.0,85354000000000.0,71939000000000.0,54847000000000.0,0.565,0.5145,1063.0,1063.0,2309.0,1639.0,0.0,8.0036373754935,0.5761945635787572,0.300303129394468,0.0,28.0,24.0,12.0,7.0
1.0,12572187683,-1,80651000000000.0,0.8791209720000001,308.239014,12.50917,420.26309,53.32425,81012000000000.0,86710000000000.0,61737000000000.0,32238000000000.0,0.8505,0.8564,3121.0,3121.0,21140.0,14640.0,10910.0,2.8520756039013,0.5754131148730045,0.2998364901798423,0.0,61.0,57.0,31.0,13.0
