scale,CtreesHaloID,pid,mvir,rvir,rs,x,y,z,Mmvir_all,M200b,M200c,M500c,T/|U|,Halfmass_Scale,Acc_Rate_Inst,Acc_Rate_100Myr,Acc_Rate_1*Tdyn,Acc_Rate_2*Tdyn,Acc_Rate_Mpeak,c_vir,R200c,R500c,redshift,Ngal_Dsep_1,Ngal_Rvir,Ngal_R200c,Ngal_R500c,sigma,r_range,delta_sigma
0.4922,7480718347,-1,106210000000000.0,1.139302979,260.5,755.73407,92.97684,671.16168,106210000000000.0,106310000000000.0,101470000000000.0,71230000000000.0,0.7138,0.4123,21570.0,21570.0,40190.0,37080.0,39930.0,0.0043735239117082,0.4889266769439976,0.275649090651944,1.031694433157253,90,100,2,1,"[-2.15426216e+17 -2.15460304e+17 -2.15488660e+17 -2.15521873e+17
 -2.15535742e+17 -2.15557212e+17 -2.15571981e+17 -2.15585676e+17
 -2.15591962e+17 -2.15600377e+17 -2.15598537e+17 -2.15594707e+17
 -2.15600970e+17 -2.15598818e+17 -2.15595207e+17 -2.15598900e+17
 -2.15599145e+17 -2.15599320e+17 -2.15603229e+17 -2.15604545e+17]","[ 0.1139303   0.14342975  0.18056735  0.22732083  0.28617997  0.36027924
  0.45356469  0.57100411  0.71885158  0.90498052  1.13930298  1.43429747
  1.80567354  2.2732083   2.86179969  3.60279236  4.53564685  5.71004108
  7.18851582  9.04980524 11.39302979]","[ 7.41840446e+13  6.83148933e+13  6.09955311e+13  5.94410555e+13
  4.62560670e+13  4.27322199e+13  3.62806126e+13  3.15327542e+13
  2.38614889e+13  2.03654010e+13  1.16885095e+13  4.95831101e+12
  7.08035880e+12  3.10985348e+12 -3.16597305e+11  2.13066399e+12
  1.49884648e+12  1.05593744e+12  3.13299512e+12  2.80720995e+12]"
0.4922,7480055305,-1,160720000000000.0,1.308011963,271.920013,736.58093,60.59093,608.97412,160790000000000.0,161030000000000.0,149080000000000.0,106170000000000.0,0.6875,0.3773,28780.0,28780.0,40820.0,45770.0,46290.0,0.0048102820699703,0.5635897229598357,0.3239167985235315,1.031694433157253,86,115,1,1,"[-2.15324298e+17 -2.15423660e+17 -2.15444824e+17 -2.15494021e+17
 -2.15531193e+17 -2.15545038e+17 -2.15565143e+17 -2.15581644e+17
 -2.15583379e+17 -2.15594425e+17 -2.15606640e+17 -2.15608322e+17
 -2.15608846e+17 -2.15607282e+17 -2.15603444e+17 -2.15605131e+17
 -2.15605624e+17 -2.15605906e+17 -2.15606786e+17 -2.15607292e+17]","[ 0.1308012   0.16466895  0.20730593  0.2609827   0.32855775  0.4136297
  0.52072894  0.6555589   0.82529975  1.03899083  1.30801196  1.6466895
  2.07305926  2.60982698  3.2855775   4.13629701  5.20728942  6.55558897
  8.25299755 10.38990834 13.08011963]","[1.65370383e+14 1.67035049e+14 1.18745508e+14 1.05964402e+14
 9.03131232e+13 6.57194157e+13 5.41513716e+13 4.45789197e+13
 2.92218110e+13 2.54076664e+13 2.37383427e+13 1.60386090e+13
 1.04507410e+13 5.60705558e+12 1.11636082e+12 1.76857345e+12
 1.42708661e+12 1.07818587e+12 1.23562101e+12 1.09852577e+12]"
0.4922,7480095636,-1,105850000000000.0,1.1380260009999998,257.671997,741.2525,57.4881,667.48871,105850000000000.0,106030000000000.0,97636000000000.0,66717000000000.0,0.6675,0.3944,10070.0,10070.0,18830.0,35240.0,36920.0,0.0044165684057627,0.4883572185022987,0.2752841447318552,1.031694433157253,62,79,1,1,"[-2.15403595e+17 -2.15452712e+17 -2.15503924e+17 -2.15528432e+17
 -2.15556551e+17 -2.15569922e+17 -2.15579204e+17 -2.15592346e+17
 -2.15599139e+17 -2.15607569e+17 -2.15611219e+17 -2.15608461e+17
 -2.15609107e+17 -2.15603373e+17 -2.15607624e+17 -2.15604560e+17
 -2.15604250e+17 -2.15603870e+17 -2.15603299e+17 -2.15607999e+17]","[ 0.1138026   0.14326899  0.18036497  0.22706604  0.28585921  0.35987542
  0.45305631  0.5703641   0.71804586  0.90396618  1.138026    1.43268985
  1.80364966  2.27066039  2.85859207  3.5987542   4.53056311  5.70364103
  7.18045864  9.03966184 11.38026001]","[ 1.15931389e+14  1.04138159e+14  9.80196554e+13  7.73096034e+13
  6.65208631e+13  5.04082520e+13  3.76623342e+13  3.20553341e+13
  2.45116282e+13  2.07845872e+13  1.54170953e+13  7.98758844e+12
  5.44708051e+12 -1.80960635e+11  2.56822157e+12 -3.13224798e+11
 -3.93228095e+11 -4.87317234e+11 -6.67917227e+11  2.54381571e+12]"
0.4922,7470077390,-1,85292000000000.0,1.058994019,306.983002,722.09906,43.59944,689.75549,85294000000000.0,85432000000000.0,78849000000000.0,53025000000000.0,0.631,0.3773,9493.0,9493.0,11400.0,24330.0,23120.0,0.0034496829208804,0.4534471882653022,0.2529795352691155,1.031694433157253,66,72,1,1,"[-2.15492201e+17 -2.15504407e+17 -2.15540305e+17 -2.15547989e+17
 -2.15560004e+17 -2.15566695e+17 -2.15576247e+17 -2.15590606e+17
 -2.15596127e+17 -2.15595412e+17 -2.15606579e+17 -2.15610859e+17
 -2.15613412e+17 -2.15613745e+17 -2.15609950e+17 -2.15608955e+17
 -2.15609157e+17 -2.15606381e+17 -2.15608274e+17 -2.15608848e+17]","[ 0.1058994   0.13331945  0.16783924  0.21129709  0.26600727  0.33488331
  0.42159311  0.53075428  0.66818005  0.84118885  1.05899402  1.33319448
  1.67839241  2.11297086  2.66007271  3.34883313  4.21593113  5.30754283
  6.68180054  8.4118885  10.58994019]","[ 5.81632851e+13  4.43999962e+13  5.06649785e+13  3.68153514e+13
  3.08101668e+13  2.36615650e+13  2.09564097e+13  2.22820431e+13
  1.75426334e+13  1.06179564e+13  1.37450467e+13  1.13730084e+13
  8.78692074e+12  5.75447465e+12  1.23574561e+12  1.52454635e+11
  2.23144192e+11 -1.61073850e+12  1.78344413e+11  4.75009156e+11]"
0.4922,7480682085,-1,57318000000000.0,0.927588989,292.77301,758.83606,99.46062,630.18573,57364000000000.0,57461000000000.0,51375000000000.0,32984000000000.0,0.6998,0.369,-7702.0,-7702.0,6634.0,14660.0,15930.0,0.0031682872304383,0.3955286419307264,0.2164214834970318,1.031694433157253,41,40,1,1,"[-2.15494151e+17 -2.15510514e+17 -2.15515318e+17 -2.15537920e+17
 -2.15554090e+17 -2.15556216e+17 -2.15565351e+17 -2.15572996e+17
 -2.15573595e+17 -2.15581760e+17 -2.15588677e+17 -2.15600451e+17
 -2.15604394e+17 -2.15605217e+17 -2.15607626e+17 -2.15598099e+17
 -2.15593637e+17 -2.15602847e+17 -2.15602170e+17 -2.15602463e+17]","[0.0927589  0.11677653 0.14701295 0.18507834 0.23299982 0.29332939
 0.36927983 0.46489576 0.58526909 0.73681012 0.92758899 1.16776535
 1.47012947 1.85078335 2.3299982  2.93329394 3.69279828 4.64895759
 5.85269085 7.36810124 9.27588989]","[ 5.20920702e+13  4.31921409e+13  3.02834850e+13  3.33683088e+13
  3.12569278e+13  2.10631082e+13  1.90533342e+13  1.68460784e+13
  1.10068367e+13  1.20963461e+13  1.19965480e+13  1.49983256e+13
  1.19511532e+13  8.06040538e+12  6.60550958e+12 -1.84362090e+12
 -3.97851089e+12  3.30088504e+12  1.65598607e+12  1.22927358e+12]"
0.4922,7480717400,-1,167250000000000.0,1.325485962,254.910995,750.21527,89.6381,676.43829,167270000000000.0,167500000000000.0,155530000000000.0,112720000000000.0,0.6966,0.369,26090.0,26090.0,29280.0,38550.0,33860.0,0.0051997990985049,0.5713360731172109,0.3289624168796391,1.031694433157253,80,117,2,1,"[-2.15356878e+17 -2.15411453e+17 -2.15443881e+17 -2.15494166e+17
 -2.15529753e+17 -2.15551697e+17 -2.15571320e+17 -2.15589404e+17
 -2.15593573e+17 -2.15600255e+17 -2.15604334e+17 -2.15602467e+17
 -2.15606881e+17 -2.15605699e+17 -2.15604907e+17 -2.15604654e+17
 -2.15603946e+17 -2.15602840e+17 -2.15605332e+17 -2.15604333e+17]","[ 0.1325486   0.1668688   0.21007537  0.26446922  0.33294702  0.41915546
  0.52768547  0.66431664  0.8363251   1.05287092  1.32548596  1.66868796
  2.10075368  2.64469219  3.3294702   4.19155465  5.27685466  6.64316643
  8.36325103 10.52870924 13.25485962]","[ 1.27130195e+14  1.14648425e+14  9.27988229e+13  9.02800976e+13
  7.94165155e+13  6.39542796e+13  5.27337742e+13  4.46826641e+13
  3.08236151e+13  2.36640530e+13  1.75051114e+13  9.86690807e+12
  9.01051924e+12  4.93948642e+12  2.61699523e+12  1.49122720e+12
  4.94313815e+11 -3.85795417e+11  1.32859499e+12  2.08396013e+11]"
0.4922,7480058523,-1,58380000000000.0,0.933278992,178.654007,762.84766,23.75169,617.49646,58428000000000.0,58503000000000.0,53716000000000.0,40374000000000.0,0.7227,0.353,20920.0,20920.0,7234.0,12420.0,8358.0,0.0052239465975146,0.3980345714700996,0.2179901792172294,1.031694433157253,42,41,1,1,"[-2.15355845e+17 -2.15416596e+17 -2.15450605e+17 -2.15492425e+17
 -2.15526254e+17 -2.15555104e+17 -2.15567655e+17 -2.15582416e+17
 -2.15584946e+17 -2.15590950e+17 -2.15600786e+17 -2.15604684e+17
 -2.15609493e+17 -2.15610389e+17 -2.15600685e+17 -2.15606420e+17
 -2.15612259e+17 -2.15610252e+17 -2.15607292e+17 -2.15608159e+17]","[0.0933279  0.11749286 0.14791475 0.18621364 0.23442908 0.29512873
 0.37154506 0.46774752 0.58885923 0.74132985 0.93327899 1.17492864
 1.47914752 1.8621364  2.34429084 2.95128731 3.71545059 4.67747516
 5.88859234 7.41329854 9.33278992]","[ 7.02859634e+13  8.26788645e+13  7.36246170e+13  7.28405982e+13
  6.73043894e+13  6.06692704e+13  4.61987240e+13  3.84630624e+13
  2.58646100e+13  2.01080587e+13  1.88933945e+13  1.43802501e+13
  1.21079105e+13  8.20501083e+12 -9.46069724e+11  3.02137051e+12
  5.59091799e+12  2.26119968e+12 -4.40919618e+11  2.68930255e+11]"
0.4922,7480059345,-1,73146000000000.0,1.006132019,219.751999,733.93152,32.40571,637.23492,73146000000000.0,73283000000000.0,66544000000000.0,46324000000000.0,0.6903,0.3303,9922.0,9922.0,9895.0,14970.0,13180.0,0.0045784885852164,0.4301273481975806,0.2381881007309401,1.031694433157253,45,45,1,1,"[-2.15463031e+17 -2.15500219e+17 -2.15518961e+17 -2.15540016e+17
 -2.15553015e+17 -2.15569427e+17 -2.15583278e+17 -2.15587409e+17
 -2.15598365e+17 -2.15598115e+17 -2.15591289e+17 -2.15592825e+17
 -2.15602664e+17 -2.15604930e+17 -2.15604044e+17 -2.15607596e+17
 -2.15603908e+17 -2.15598907e+17 -2.15601998e+17 -2.15607145e+17]","[ 0.1006132   0.12666452  0.15946118  0.20074973  0.25272894  0.31816688
  0.40054837  0.50426052  0.63482639  0.79919907  1.00613202  1.26664517
  1.59461179  2.0074973   2.52728937  3.18166881  4.00548371  5.04260523
  6.34826387  7.99199071 10.06132019]","[ 4.76083979e+13  5.35031655e+13  4.55835286e+13  4.20460806e+13
  3.47311767e+13  3.22689947e+13  2.91000341e+13  2.09669883e+13
  2.01422165e+13  1.25509622e+13  3.61216377e+12  3.24834753e+12
  8.25752192e+12  6.63976882e+12  3.63082522e+12  4.53190848e+12
  5.32378360e+11 -2.81962293e+12  1.71214181e+11  3.35589002e+12]"
0.4922,7470707050,-1,112450000000000.0,1.161208008,208.395996,711.63782,73.97231,677.36505,112760000000000.0,112640000000000.0,103150000000000.0,74884000000000.0,0.7409,0.4505,65750.0,65750.0,68170.0,39380.0,43960.0,0.0055721224509515,0.4986037675259108,0.2818649490749462,1.031694433157253,66,83,1,1,"[-2.15380852e+17 -2.15395066e+17 -2.15451855e+17 -2.15464135e+17
 -2.15497475e+17 -2.15518554e+17 -2.15537484e+17 -2.15567227e+17
 -2.15579620e+17 -2.15590154e+17 -2.15594050e+17 -2.15600021e+17
 -2.15598983e+17 -2.15597141e+17 -2.15600052e+17 -2.15597468e+17
 -2.15598027e+17 -2.15601365e+17 -2.15601899e+17 -2.15602321e+17]","[ 0.1161208   0.14618743  0.18403907  0.23169146  0.29168226  0.36720621
  0.46228523  0.58198263  0.73267272  0.92238031  1.16120801  1.46187427
  1.84039067  2.31691458  2.91682264  3.67206214  4.62285234  5.81982629
  7.32672721  9.22380307 11.61208008]","[8.90186579e+13 6.51357843e+13 7.69293151e+13 5.62869791e+13
 5.65512031e+13 4.89811381e+13 4.28493278e+13 4.58023000e+13
 3.67191179e+13 2.98145632e+13 2.12700141e+13 1.71873563e+13
 1.01895764e+13 5.26721293e+12 5.15999134e+12 1.62533603e+12
 1.37825760e+12 2.97584260e+12 2.21453983e+12 1.66368198e+12]"
0.4922,7480724971,-1,53650000000000.0,0.907361023,197.561005,749.58069,97.59386,659.87231,53796000000000.0,53749000000000.0,50365000000000.0,36684000000000.0,0.7878,0.3773,16890.0,16890.0,16700.0,14890.0,15000.0,0.0045928143714393,0.3866302731525272,0.2108608575353688,1.031694433157253,49,49,1,1,"[-2.15462586e+17 -2.15459363e+17 -2.15489379e+17 -2.15504711e+17
 -2.15522978e+17 -2.15535606e+17 -2.15545985e+17 -2.15548588e+17
 -2.15561561e+17 -2.15575230e+17 -2.15583955e+17 -2.15602114e+17
 -2.15604863e+17 -2.15606351e+17 -2.15600298e+17 -2.15600580e+17
 -2.15602560e+17 -2.15601095e+17 -2.15601700e+17 -2.15600927e+17]","[0.0907361  0.11422998 0.14380703 0.18104233 0.22791878 0.28693275
 0.36122693 0.45475776 0.5725061  0.72074248 0.90736102 1.14229985
 1.43807031 1.81042326 2.27918784 2.86932749 3.6122693  4.54757761
 5.72506102 7.2074248  9.07361023]","[6.88532503e+13 4.14100126e+13 4.50668591e+13 3.81089149e+13
 3.55713290e+13 3.04115919e+13 2.57369060e+13 1.78815583e+13
 1.94675008e+13 2.09081427e+13 1.86970666e+13 2.32542573e+13
 1.64072851e+13 1.12911699e+13 3.30524354e+12 2.26299037e+12
 2.67720865e+12 7.64995109e+11 8.64451571e+11 5.75282919e+10]"
