scale,CtreesHaloID,pid,mvir,rvir,rs,x,y,z,Mmvir_all,M200b,M200c,M500c,T/|U|,Halfmass_Scale,Acc_Rate_Inst,Acc_Rate_100Myr,Acc_Rate_1*Tdyn,Acc_Rate_2*Tdyn,Acc_Rate_Mpeak,c_vir,R200c,R500c,redshift,Ngal_Dsep_1,Ngal_Rvir,Ngal_R200c,Ngal_R500c
0.6712,9894374428,-1,74632000000000.0,0.965705017,152.557007,806.01184,956.38538,89.88282,86283000000000.0,75844000000000.0,70896000000000.0,56307000000000.0,0.9679,0.5876,9859.0,9859.0,28800.0,18430.0,17090.0,6.3301256100285,0.5171804345437548,0.2812513890942791,0.4898688915375446,46.0,46.0,17.0,6.0
0.6712,9894374494,-1,87854000000000.0,1.019663025,257.703003,807.47559,952.95251,90.73178,87854000000000.0,90489000000000.0,79174000000000.0,52167000000000.0,0.6718,0.4814,-500.0,-500.0,4767.0,10500.0,12320.0,3.9567370699207,0.5475991819705822,0.3002535938633952,0.4898688915375446,74.0,76.0,28.0,7.0
0.6712,9893758496,-1,95985000000000.0,1.050196045,221.087997,800.3468,905.99084,42.01529,95985000000000.0,99387000000000.0,85563000000000.0,57409000000000.0,0.6425,0.4309,7520.0,7520.0,3486.0,8339.0,11530.0,4.7501269143977005,0.5648381529562269,0.3110824040164916,0.4898688915375446,49.0,55.0,20.0,7.0
0.6712,9894337623,-1,68833000000000.0,0.940017029,131.266006,855.21863,944.3974,79.18746,68833000000000.0,73322000000000.0,60670000000000.0,49180000000000.0,0.7417,0.4032,19890.0,19890.0,16910.0,9501.0,8082.0,7.1611611996482,0.5027198722646429,0.2722683319240689,0.4898688915375446,29.0,29.0,12.0,4.0
0.6712,9903634562,-1,114310000000000.0,1.113192017,356.221985,887.01721,940.52472,7.21487,114330000000000.0,120790000000000.0,93536000000000.0,55750000000000.0,0.6393,0.4709,27770.0,27770.0,13030.0,16600.0,17550.0,3.1249952666453,0.6004504363012854,0.3335800922251367,0.4898688915375446,57.0,70.0,17.0,7.0
0.6712,9903057743,-1,71192000000000.0,0.95063501,311.553986,888.98022,926.19598,7.96391,71195000000000.0,75150000000000.0,62151000000000.0,38323000000000.0,0.7751,0.628,63530.0,63530.0,34390.0,17530.0,16040.0,3.0512689701232,0.5086950315203129,0.27597611289009,0.4898688915375446,61.0,57.0,24.0,6.0
0.6712,9894299791,-1,119830000000000.0,1.130819946,839.705017,801.57086,988.93787,46.02432,120150000000000.0,134620000000000.0,86307000000000.0,44784000000000.0,0.8244,0.6008,169800.0,169800.0,45810.0,26140.0,24180.0,1.3466871378713998,0.6104352997255489,0.3399162834499567,0.4898688915375446,67.0,85.0,30.0,4.0
0.6712,9894300118,-1,110150000000000.0,1.099503052,349.768005,809.71851,940.78265,43.4627,110200000000000.0,121750000000000.0,86656000000000.0,54821000000000.0,0.6649,0.4709,61900.0,61900.0,26940.0,18860.0,17430.0,3.1435209518377003,0.5927139842462703,0.3286781123321706,0.4898688915375446,73.0,87.0,25.0,6.0
0.6712,9894300720,-1,56983000000000.0,0.882640015,263.816986,857.74927,995.02032,43.84195,56983000000000.0,58786000000000.0,50741000000000.0,32670000000000.0,0.6212,0.4709,714.8,714.8,5482.0,8730.0,8590.0,3.3456527132032,0.4704796511632703,0.2523657635269589,0.4898688915375446,32.0,32.0,12.0,3.0
0.6712,9893760203,-1,96733000000000.0,1.052916992,221.951004,804.58282,909.47272,85.04776,96897000000000.0,100390000000000.0,86243000000000.0,59941000000000.0,0.6601,0.4215,10560.0,10560.0,9509.0,11040.0,10140.0,4.7439163284884,0.5663752364732901,0.3120499450616515,0.4898688915375446,67.0,70.0,30.0,7.0
0.6712,9894338505,-1,55929000000000.0,0.877166016,139.925995,807.02002,993.01251,75.07433,55973000000000.0,58761000000000.0,51038000000000.0,37592000000000.0,0.6692,0.3944,12950.0,12950.0,5949.0,3500.0,2697.0,6.2687852675265,0.4674068629575885,0.2504784755017242,0.4898688915375446,27.0,27.0,10.0,3.0
0.6712,9903056396,-1,56096000000000.0,0.8780380249999999,134.035995,893.72302,909.45569,34.65118,56129000000000.0,58609000000000.0,50046000000000.0,36771000000000.0,0.6079,0.369,5537.0,5537.0,4764.0,5068.0,4975.0,6.5507629126041,0.4678962390418079,0.2507789373347174,0.4898688915375446,25.0,25.0,11.0,1.0
0.6712,9893760025,-1,83072000000000.0,1.000814026,207.438004,802.12952,911.23749,82.5567,83233000000000.0,86677000000000.0,74095000000000.0,51179000000000.0,0.6325,0.5032,-5334.0,-5334.0,-182.5,11630.0,16860.0,4.8246416119584,0.5369675138273412,0.2935962893871496,0.4898688915375446,55.0,55.0,23.0,5.0
0.6712,9893722620,-1,76597000000000.0,0.974106018,357.307007,802.86353,934.77118,16.66446,76792000000000.0,79221000000000.0,65415000000000.0,39409000000000.0,0.6671,0.4605,27010.0,27010.0,13690.0,12290.0,11390.0,2.7262438153081,0.521913092728211,0.2841985422124805,0.4898688915375446,55.0,55.0,16.0,7.0
0.6712,9894301366,-1,72787000000000.0,0.957677979,231.130997,835.51776,977.47754,32.4328,72902000000000.0,74623000000000.0,66258000000000.0,45936000000000.0,0.7144,0.5378,14620.0,14620.0,19820.0,14840.0,15120.0,4.1434424262878,0.5126619072349475,0.2784407019178882,0.4898688915375446,54.0,54.0,22.0,8.0
0.6712,9894301266,-1,59536000000000.0,0.895630981,189.384995,827.21564,966.45599,55.34939,59537000000000.0,61794000000000.0,53031000000000.0,35589000000000.0,0.6459,0.4814,-2694.0,-2694.0,6720.0,10430.0,10120.0,4.7291549206419,0.4777719161074657,0.2568516668542779,0.4898688915375446,46.0,45.0,15.0,5.0
0.6712,9894302016,-1,59530000000000.0,0.895601013,263.227997,856.63892,945.09833,61.8619,59562000000000.0,61896000000000.0,50440000000000.0,30012000000000.0,0.628,0.4215,4000.0,4000.0,5465.0,7612.0,7240.0,3.4023774948224,0.4777550234155952,0.2568412693332956,0.4898688915375446,46.0,46.0,10.0,4.0
0.6712,9894339900,-1,65978000000000.0,0.926833008,221.412003,808.71838,992.39935,68.8102,66152000000000.0,68287000000000.0,57996000000000.0,40280000000000.0,0.6303,0.5622,5545.0,5545.0,10870.0,13880.0,12460.0,4.1860106744077,0.4953063421921028,0.2676759863052838,0.4898688915375446,33.0,33.0,10.0,5.0
0.6712,9894381516,-1,83547000000000.0,1.002721008,265.049011,812.20239,989.77069,150.03525,83547000000000.0,86228000000000.0,74870000000000.0,43067000000000.0,0.6409,0.526,6392.0,6392.0,12280.0,20430.0,19950.0,3.7831531769043,0.5380412893238695,0.2942680298598522,0.4898688915375446,49.0,49.0,13.0,6.0
0.6712,9903671573,-1,83493000000000.0,1.002504028,195.126999,896.74506,942.6438,131.40028,84076000000000.0,86552000000000.0,75152000000000.0,51640000000000.0,0.7063,0.4814,3942.0,3942.0,11760.0,11410.0,13720.0,5.1377002318372,0.53791940454126,0.2941917485179161,0.4898688915375446,67.0,67.0,28.0,6.0
0.6712,9903707865,-1,108980000000000.0,1.095582031,199.222,873.22455,956.61621,101.11859,109010000000000.0,115060000000000.0,96500000000000.0,70428000000000.0,0.7025,0.4814,15450.0,15450.0,13550.0,14620.0,18000.0,5.4993024414974,0.5905034261015111,0.3272784619523964,0.4898688915375446,65.0,68.0,22.0,5.0
0.6712,9903129210,-1,67948000000000.0,0.935969971,220.908005,885.68585,917.89349,158.04114,67950000000000.0,71653000000000.0,57007000000000.0,38579000000000.0,0.7067,0.4605,39390.0,39390.0,20210.0,11740.0,11040.0,4.236921930466,0.500443672106904,0.2708573669863432,0.4898688915375446,42.0,42.0,16.0,2.0
0.6712,9903129412,-1,53459000000000.0,0.86405603,92.733002,878.64917,912.19519,158.95424,53460000000000.0,54558000000000.0,50186000000000.0,40223000000000.0,0.7488,0.5032,11920.0,11920.0,18220.0,10030.0,9228.0,9.3176755994591,0.4600544628402907,0.2459694180852411,0.4898688915375446,39.0,39.0,18.0,6.0
0.6712,9903143049,-1,66848000000000.0,0.930888977,152.671005,884.61505,904.21216,170.57108,66937000000000.0,69454000000000.0,61199000000000.0,43321000000000.0,0.6879,0.4505,9251.0,9251.0,10320.0,9858.0,10420.0,6.0973527815579,0.4975872701818362,0.2690878999286464,0.4898688915375446,39.0,39.0,15.0,3.0
0.6712,9894338295,-1,55419000000000.0,0.874489014,111.300003,845.87988,995.98541,101.6743,55420000000000.0,56475000000000.0,52030000000000.0,42002000000000.0,0.7528,0.4215,9169.0,9169.0,18580.0,10280.0,8204.0,7.8570439391632,0.4659063334074156,0.249557338267554,0.4898688915375446,41.0,41.0,18.0,6.0
0.6712,9903095173,-1,69545000000000.0,0.943247009,221.343002,870.83942,907.86963,118.2525,69979000000000.0,71683000000000.0,61933000000000.0,41956000000000.0,0.6813,0.4605,8160.0,8160.0,18720.0,12110.0,11000.0,4.2614720161787005,0.5045372363284677,0.2733954539149603,0.4898688915375446,51.0,51.0,11.0,4.0
0.6712,9894375236,-1,80714000000000.0,0.991255005,242.278,855.88977,998.62531,176.18814,81118000000000.0,83109000000000.0,73554000000000.0,53891000000000.0,0.8064,0.6142,35440.0,35440.0,36650.0,19520.0,17250.0,4.0913950296766,0.5315771726949187,0.2902274586606927,0.4898688915375446,58.0,58.0,25.0,4.0
0.6712,9903092435,-1,111820000000000.0,1.105025024,299.200012,869.93634,912.4035,120.63219,113680000000000.0,117850000000000.0,97447000000000.0,66494000000000.0,0.7294,0.5032,19750.0,19750.0,21700.0,23540.0,26770.0,3.6932653064198,0.595841985391087,0.330658578014456,0.4898688915375446,63.0,71.0,23.0,5.0
0.6712,9903092587,-1,85909000000000.0,1.01208197,479.062012,870.75348,914.13721,122.0669,91574000000000.0,89325000000000.0,74403000000000.0,37041000000000.0,0.9484,0.5876,32660.0,32660.0,38930.0,23660.0,21590.0,2.1126324873365,0.5433218189089747,0.2975732564127205,0.4898688915375446,77.0,77.0,23.0,4.0
